text,true_labels,predicted_labels,false_positives,false_negatives,true_positives,probabilities
[TITRE] Maîtrisez l'Intelligence Artificielle (IA) - DEBUTANT | [SECTEUR] Numérique & Informatique | [ORGANISME] BT FORMATION | [CERTIFICATION] RS | [NIVEAU] nan | [ROME] nan | [TAGS] Gestion-de-proje,"['Ethique IA & RGPD', 'Gestion de projet IA', 'IA Generative']","['Gestion de projet IA', 'IA Generative']",[],['Ethique IA & RGPD'],"['Gestion de projet IA', 'IA Generative']","{'Automatisation': 0.4811, 'Big Data': 0.3804, 'Computer Vision': 0.3409, 'Data Engineering': 0.4001, 'Data Science': 0.3824, 'Deep Learning': 0.4228, 'Ethique IA & RGPD': 0.5895, 'Gestion de projet IA': 0.6169, 'IA Generative': 0.614, 'LangChain / Agents RAG': 0.3749, 'Machine Learning': 0.3986, 'MLOps / Deploiement': 0.4003, 'NLP / Traitement du langage': 0.3885, 'No-code / Low-code': 0.4711, 'Prompt Engineering': 0.5531, 'Python': 0.3652, 'Reinforcement Learning': 0.3514, 'Series temporelles': 0.3535, 'SQL / Data Engineering': 0.3342, 'Visualisation': 0.3661}"
"[TITRE] Développeur en intelligence artificielle - Data Analytics | [SECTEUR] Numérique & Informatique | [ORGANISME] IQ FACTORY | [CERTIFICATION] RNCP | [NIVEAU] BAC+3 ou 4 : licence, master 1, maîtri","['Automatisation', 'Python', 'SQL / Data Engineering']","['Big Data', 'Data Engineering', 'Data Science', 'Machine Learning', 'MLOps / Deploiement', 'Python', 'SQL / Data Engineering', 'Visualisation']","['Big Data', 'Data Engineering', 'Data Science', 'Machine Learning', 'MLOps / Deploiement', 'Visualisation']",['Automatisation'],"['Python', 'SQL / Data Engineering']","{'Automatisation': 0.4694, 'Big Data': 0.6045, 'Computer Vision': 0.5483, 'Data Engineering': 0.5741, 'Data Science': 0.6244, 'Deep Learning': 0.5587, 'Ethique IA & RGPD': 0.3958, 'Gestion de projet IA': 0.3798, 'IA Generative': 0.3851, 'LangChain / Agents RAG': 0.5014, 'Machine Learning': 0.5899, 'MLOps / Deploiement': 0.5103, 'NLP / Traitement du langage': 0.5089, 'No-code / Low-code': 0.4401, 'Prompt Engineering': 0.3856, 'Python': 0.6258, 'Reinforcement Learning': 0.4858, 'Series temporelles': 0.5191, 'SQL / Data Engineering': 0.5964, 'Visualisation': 0.5776}"
[TITRE] Intégrer l'IA dans la profession journalistique | [SECTEUR] Numérique & Informatique | [ORGANISME] THE MEDIA FACULTY 2 | [CERTIFICATION] RS | [NIVEAU] nan | [ROME] nan | [TAGS] IA-Générative |,"['Automatisation', 'Ethique IA & RGPD', 'IA Generative']",['Ethique IA & RGPD'],[],"['Automatisation', 'IA Generative']",['Ethique IA & RGPD'],"{'Automatisation': 0.5023, 'Big Data': 0.3694, 'Computer Vision': 0.3472, 'Data Engineering': 0.3909, 'Data Science': 0.3731, 'Deep Learning': 0.4217, 'Ethique IA & RGPD': 0.6177, 'Gestion de projet IA': 0.5891, 'IA Generative': 0.5995, 'LangChain / Agents RAG': 0.3861, 'Machine Learning': 0.402, 'MLOps / Deploiement': 0.4109, 'NLP / Traitement du langage': 0.3907, 'No-code / Low-code': 0.4678, 'Prompt Engineering': 0.5457, 'Python': 0.3801, 'Reinforcement Learning': 0.3492, 'Series temporelles': 0.3523, 'SQL / Data Engineering': 0.3418, 'Visualisation': 0.3676}"
[TITRE] Intégrer l'Intelligence Artificielle dans les pratiques en Ressources Humaines - COLLECTIVE | [SECTEUR] Ressources Humaines | [ORGANISME] AXIO FORMATION | [CERTIFICATION] RS | [NIVEAU] nan | [,"['Automatisation', 'Ethique IA & RGPD']","['Automatisation', 'Ethique IA & RGPD', 'IA Generative']",['IA Generative'],[],"['Automatisation', 'Ethique IA & RGPD']","{'Automatisation': 0.5222, 'Big Data': 0.3715, 'Computer Vision': 0.3486, 'Data Engineering': 0.3926, 'Data Science': 0.3752, 'Deep Learning': 0.4203, 'Ethique IA & RGPD': 0.6104, 'Gestion de projet IA': 0.5868, 'IA Generative': 0.6016, 'LangChain / Agents RAG': 0.3841, 'Machine Learning': 0.4027, 'MLOps / Deploiement': 0.4064, 'NLP / Traitement du langage': 0.3947, 'No-code / Low-code': 0.4674, 'Prompt Engineering': 0.5482, 'Python': 0.3848, 'Reinforcement Learning': 0.3499, 'Series temporelles': 0.351, 'SQL / Data Engineering': 0.3396, 'Visualisation': 0.3683}"
[TITRE] Consulting Intelligence Artificielle 2027 - Mener des projets IA et Big Data en équipe en intégrant les contraintes légales et des considérations éthi | [SECTEUR] Numérique & Informatique | [O,"['Big Data', 'Ethique IA & RGPD', 'Gestion de projet IA', 'LangChain / Agents RAG']",[],[],"['Big Data', 'Ethique IA & RGPD', 'Gestion de projet IA', 'LangChain / Agents RAG']",[],"{'Automatisation': 0.4574, 'Big Data': 0.422, 'Computer Vision': 0.344, 'Data Engineering': 0.4331, 'Data Science': 0.4278, 'Deep Learning': 0.4399, 'Ethique IA & RGPD': 0.5645, 'Gestion de projet IA': 0.5859, 'IA Generative': 0.5697, 'LangChain / Agents RAG': 0.4446, 'Machine Learning': 0.4152, 'MLOps / Deploiement': 0.4413, 'NLP / Traitement du langage': 0.4018, 'No-code / Low-code': 0.4603, 'Prompt Engineering': 0.5247, 'Python': 0.3895, 'Reinforcement Learning': 0.3525, 'Series temporelles': 0.3692, 'SQL / Data Engineering': 0.3515, 'Visualisation': 0.396}"
"[TITRE] Manipuler, analyser et visualiser des données grâce aux modules Python de Data Science | [SECTEUR] Numérique & Informatique | [ORGANISME] SENZA | [CERTIFICATION] RS | [NIVEAU] nan | [ROME] nan","['Data Science', 'Python', 'Visualisation']","['Data Engineering', 'Data Science', 'Machine Learning', 'Python', 'SQL / Data Engineering', 'Visualisation']","['Data Engineering', 'Machine Learning', 'SQL / Data Engineering']",[],"['Data Science', 'Python', 'Visualisation']","{'Automatisation': 0.4918, 'Big Data': 0.5848, 'Computer Vision': 0.5648, 'Data Engineering': 0.5495, 'Data Science': 0.6091, 'Deep Learning': 0.5593, 'Ethique IA & RGPD': 0.4019, 'Gestion de projet IA': 0.3914, 'IA Generative': 0.3924, 'LangChain / Agents RAG': 0.4976, 'Machine Learning': 0.5945, 'MLOps / Deploiement': 0.4864, 'NLP / Traitement du langage': 0.5212, 'No-code / Low-code': 0.4396, 'Prompt Engineering': 0.4029, 'Python': 0.6525, 'Reinforcement Learning': 0.4858, 'Series temporelles': 0.5342, 'SQL / Data Engineering': 0.5886, 'Visualisation': 0.5767}"
[TITRE] Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative en Hôtellerie et Restauration | [SECTEUR] Numérique & Informatique | [ORG,"['Automatisation', 'Ethique IA & RGPD', 'Gestion de projet IA', 'IA Generative']","['Ethique IA & RGPD', 'Gestion de projet IA', 'IA Generative']",[],['Automatisation'],"['Ethique IA & RGPD', 'Gestion de projet IA', 'IA Generative']","{'Automatisation': 0.485, 'Big Data': 0.3747, 'Computer Vision': 0.3381, 'Data Engineering': 0.3979, 'Data Science': 0.379, 'Deep Learning': 0.4173, 'Ethique IA & RGPD': 0.593, 'Gestion de projet IA': 0.6185, 'IA Generative': 0.6196, 'LangChain / Agents RAG': 0.3773, 'Machine Learning': 0.396, 'MLOps / Deploiement': 0.3995, 'NLP / Traitement du langage': 0.3896, 'No-code / Low-code': 0.4807, 'Prompt Engineering': 0.5672, 'Python': 0.3634, 'Reinforcement Learning': 0.3495, 'Series temporelles': 0.3548, 'SQL / Data Engineering': 0.337, 'Visualisation': 0.368}"
[TITRE] Master mention Biologie-santé - Parcours type : Biomarqueurs et intelligence artificielle - 2ème année | [SECTEUR] Santé & Paramédical | [ORGANISME] UNIVERSITE D'AIX MARSEILLE | [CERTIFICATION,['IA Generative'],[],[],['IA Generative'],[],"{'Automatisation': 0.4584, 'Big Data': 0.4123, 'Computer Vision': 0.3352, 'Data Engineering': 0.4206, 'Data Science': 0.416, 'Deep Learning': 0.4306, 'Ethique IA & RGPD': 0.5585, 'Gestion de projet IA': 0.5695, 'IA Generative': 0.5949, 'LangChain / Agents RAG': 0.3629, 'Machine Learning': 0.4113, 'MLOps / Deploiement': 0.4022, 'NLP / Traitement du langage': 0.3723, 'No-code / Low-code': 0.4483, 'Prompt Engineering': 0.499, 'Python': 0.3663, 'Reinforcement Learning': 0.345, 'Series temporelles': 0.3358, 'SQL / Data Engineering': 0.3334, 'Visualisation': 0.3637}"
"[TITRE] Data Science, Machine Learning et IA appliquee - RNCP38616BC02, BC03, BC04, BC05 | [SECTEUR] Numérique & Informatique | [ORGANISME] LE WAGON | [CERTIFICATION] RNCP | [NIVEAU] BAC+3 ou 4 : lice","['Data Science', 'Machine Learning', 'SQL / Data Engineering']","['Big Data', 'Data Engineering', 'Data Science', 'Machine Learning', 'MLOps / Deploiement', 'Python', 'SQL / Data Engineering', 'Visualisation']","['Big Data', 'Data Engineering', 'MLOps / Deploiement', 'Python', 'Visualisation']",[],"['Data Science', 'Machine Learning', 'SQL / Data Engineering']","{'Automatisation': 0.4583, 'Big Data': 0.6208, 'Computer Vision': 0.554, 'Data Engineering': 0.5673, 'Data Science': 0.6416, 'Deep Learning': 0.5744, 'Ethique IA & RGPD': 0.3828, 'Gestion de projet IA': 0.3766, 'IA Generative': 0.3748, 'LangChain / Agents RAG': 0.4856, 'Machine Learning': 0.613, 'MLOps / Deploiement': 0.4939, 'NLP / Traitement du langage': 0.5063, 'No-code / Low-code': 0.4298, 'Prompt Engineering': 0.3802, 'Python': 0.6298, 'Reinforcement Learning': 0.4987, 'Series temporelles': 0.5242, 'SQL / Data Engineering': 0.5986, 'Visualisation': 0.5742}"
"[TITRE] Architecte en intelligence artificielle - Spécialité Data Science | [SECTEUR] Numérique & Informatique | [ORGANISME] DSTI | [CERTIFICATION] RNCP | [NIVEAU] BAC+5 : grade master, DEA, DESS, ing","['Big Data', 'Data Science']","['Big Data', 'Data Engineering', 'Data Science', 'Machine Learning']","['Data Engineering', 'Machine Learning']",[],"['Big Data', 'Data Science']","{'Automatisation': 0.4131, 'Big Data': 0.6717, 'Computer Vision': 0.4834, 'Data Engineering': 0.5888, 'Data Science': 0.6634, 'Deep Learning': 0.5555, 'Ethique IA & RGPD': 0.4007, 'Gestion de projet IA': 0.4091, 'IA Generative': 0.3931, 'LangChain / Agents RAG': 0.4341, 'Machine Learning': 0.5657, 'MLOps / Deploiement': 0.4807, 'NLP / Traitement du langage': 0.4485, 'No-code / Low-code': 0.4219, 'Prompt Engineering': 0.3839, 'Python': 0.5232, 'Reinforcement Learning': 0.4497, 'Series temporelles': 0.4608, 'SQL / Data Engineering': 0.5216, 'Visualisation': 0.5422}"
